Date,Panamax,NeoPanamax,Overall,Change,Notice Panamax,Downward Panama,Upward Panamax,Notice NeoPanamax,Downward NeoPanamax,Upward NeoPanamax,gatun_depth
1/1/2015,12.04,,12.04,12.04,,0,1,,,,26.63
1/2/2015,12.04,,12.04,,,0,1,,,,26.62
1/3/2015,12.04,,12.04,,,0,1,,,,26.61
1/4/2015,12.04,,12.04,,,0,1,,,,26.6
1/5/2015,12.04,,12.04,,,0,1,,,,26.59
1/6/2015,12.04,,12.04,,,0,1,,,,26.58
1/7/2015,12.04,,12.04,,,0,1,,,,26.57
1/8/2015,12.04,,12.04,,,0,1,,,,26.56
1/9/2015,12.04,,12.04,,,0,1,,,,26.55
1/10/2015,12.04,,12.04,,,0,1,,,,26.54
1/11/2015,12.04,,12.04,,,0,1,,,,26.53
1/12/2015,12.04,,12.04,,,0,1,,,,26.52
1/13/2015,12.04,,12.04,,,0,1,,,,26.51
1/14/2015,12.04,,12.04,,,0,1,,,,26.5
1/15/2015,12.04,,12.04,,,0,1,,,,26.49
1/16/2015,12.04,,12.04,,,0,1,,,,26.48
1/17/2015,12.04,,12.04,,,0,1,,,,26.48
1/18/2015,12.04,,12.04,,,0,1,,,,26.47
1/19/2015,12.04,,12.04,,,0,1,,,,26.47
1/20/2015,12.04,,12.04,,,0,1,,,,26.46
1/21/2015,12.04,,12.04,,,0,1,,,,26.45
1/22/2015,12.04,,12.04,,,0,1,,,,26.44
1/23/2015,12.04,,12.04,,,0,1,,,,26.43
1/24/2015,12.04,,12.04,,,0,1,,,,26.42
1/25/2015,12.04,,12.04,,,0,1,,,,26.41
1/26/2015,12.04,,12.04,,,0,1,,,,26.4
1/27/2015,12.04,,12.04,,,0,1,,,,26.39
1/28/2015,12.04,,12.04,,,0,1,,,,26.37
1/29/2015,12.04,,12.04,,,0,1,,,,26.36
1/30/2015,12.04,,12.04,,,0,1,,,,26.34
1/31/2015,12.04,,12.04,,,0,1,,,,26.33
2/1/2015,12.04,,12.04,,,0,1,,,,26.32
2/2/2015,12.04,,12.04,,,0,1,,,,26.31
2/3/2015,12.04,,12.04,,,0,1,,,,26.3
2/4/2015,12.04,,12.04,,,0,1,,,,26.28
2/5/2015,12.04,,12.04,,,0,1,,,,26.27
2/6/2015,12.04,,12.04,,,0,1,,,,26.26
2/7/2015,12.04,,12.04,,,0,1,,,,26.25
2/8/2015,12.04,,12.04,,,0,1,,,,26.24
2/9/2015,12.04,,12.04,,,0,1,,,,26.23
2/10/2015,12.04,,12.04,,,0,1,,,,26.22
2/11/2015,12.04,,12.04,,,0,1,,,,26.21
2/12/2015,12.04,,12.04,,,0,1,,,,26.19
2/13/2015,12.04,,12.04,,,0,1,,,,26.17
2/14/2015,12.04,,12.04,,,0,1,,,,26.15
2/15/2015,12.04,,12.04,,,0,1,,,,26.15
2/16/2015,12.04,,12.04,,,0,1,,,,26.13
2/17/2015,12.04,,12.04,,,0,1,,,,26.12
2/18/2015,12.04,,12.04,,,0,1,,,,26.1
2/19/2015,12.04,,12.04,,,0,1,,,,26.08
2/20/2015,12.04,,12.04,,,0,1,,,,26.07
2/21/2015,12.04,,12.04,,,0,1,,,,26.05
2/22/2015,12.04,,12.04,,,0,1,,,,26.03
2/23/2015,12.04,,12.04,,,0,1,,,,26.02
2/24/2015,12.04,,12.04,,,0,1,,,,26
2/25/2015,12.04,,12.04,,,0,1,,,,25.98
2/26/2015,12.04,,12.04,,,0,1,,,,25.97
2/27/2015,12.04,,12.04,,,0,1,,,,25.95
2/28/2015,12.04,,12.04,,,0,1,,,,25.93
3/1/2015,12.04,,12.04,,,0,1,,,,25.91
3/2/2015,12.04,,12.04,,,0,1,,,,25.89
3/3/2015,12.04,,12.04,,,0,1,,,,25.88
3/4/2015,12.04,,12.04,,,0,1,,,,25.86
3/5/2015,12.04,,12.04,,,0,1,,,,25.84
3/6/2015,12.04,,12.04,,,0,1,,,,25.82
3/7/2015,12.04,,12.04,,,0,1,,,,25.8
3/8/2015,12.04,,12.04,,,0,1,,,,25.78
3/9/2015,12.04,,12.04,,,0,1,,,,25.76
3/10/2015,12.04,,12.04,,,0,1,,,,25.74
3/11/2015,12.04,,12.04,,,0,1,,,,25.73
3/12/2015,12.04,,12.04,,,0,1,,,,25.7
3/13/2015,12.04,,12.04,,,0,1,,,,25.68
3/14/2015,12.04,,12.04,,,0,1,,,,25.67
3/15/2015,12.04,,12.04,,,0,1,,,,25.65
3/16/2015,12.04,,12.04,,,0,1,,,,25.63
3/17/2015,12.04,,12.04,,,0,1,,,,25.62
3/18/2015,12.04,,12.04,,,0,1,,,,25.61
3/19/2015,12.04,,12.04,,,0,1,,,,25.6
3/20/2015,12.04,,12.04,,,0,1,,,,25.58
3/21/2015,12.04,,12.04,,,0,1,,,,25.57
3/22/2015,12.04,,12.04,,,0,1,,,,25.56
3/23/2015,12.04,,12.04,,,0,1,,,,25.55
3/24/2015,12.04,,12.04,,,0,1,,,,25.54
3/25/2015,12.04,,12.04,,,0,1,,,,25.53
3/26/2015,12.04,,12.04,,,0,1,,,,25.52
3/27/2015,12.04,,12.04,,,0,1,,,,25.5
3/28/2015,12.04,,12.04,,,0,1,,,,25.49
3/29/2015,12.04,,12.04,,,0,1,,,,25.48
3/30/2015,12.04,,12.04,,,0,1,,,,25.47
3/31/2015,12.04,,12.04,,,0,1,,,,25.46
4/1/2015,12.04,,12.04,,,0,1,,,,25.44
4/2/2015,12.04,,12.04,,,0,1,,,,25.43
